created_at,number_appts
2020-05-20,500
2020-05-19,586
2020-05-18,548
2020-05-17,133
2020-05-16,367
2020-05-15,649
2020-05-14,423
2020-05-13,439
2020-05-12,450
2020-05-11,336
2020-05-10,129
2020-05-09,303
2020-05-08,386
2020-05-07,319
2020-05-06,385
2020-05-05,248
2020-05-04,130
2020-05-03,81
2020-05-02,133
2020-05-01,226
2020-04-30,270
2020-04-29,233
2020-04-28,204
2020-04-27,144
2020-04-26,30
2020-04-25,94
2020-04-24,170
2020-04-23,124
2020-04-22,128
2020-04-21,178
2020-04-20,57
2020-04-19,16
2020-04-18,32
2020-04-17,49
2020-04-16,104
2020-04-15,47
2020-04-14,64
2020-04-13,83
2020-04-12,10
2020-04-11,26
2020-04-10,53
2020-04-09,30
2020-04-08,45
2020-04-07,62
2020-04-06,32
2020-04-05,11
2020-04-04,19
2020-04-03,45
2020-04-02,59
2020-04-01,92
2020-03-31,97
2020-03-30,97
2020-03-29,35
2020-03-28,68
2020-03-27,163
2020-03-26,97
2020-03-25,110
2020-03-24,106
2020-03-23,120
2020-03-22,41
2020-03-21,99
2020-03-20,263
2020-03-19,243
2020-03-18,355
2020-03-17,336
2020-03-16,238
2020-03-15,92
2020-03-14,268
2020-03-13,423
2020-03-12,518
2020-03-11,580
2020-03-10,524
2020-03-09,359
2020-03-08,122
2020-03-07,412
2020-03-06,559
2020-03-05,536
2020-03-04,553
2020-03-03,465
2020-03-02,394
2020-03-01,136
2020-02-29,353
2020-02-28,520
2020-02-27,476
2020-02-26,536
2020-02-25,472
2020-02-24,362
2020-02-23,119
2020-02-22,418
2020-02-21,522
2020-02-20,551
2020-02-19,453
2020-02-18,550
2020-02-17,316
2020-02-16,120
2020-02-15,361
2020-02-14,527
2020-02-13,413
2020-02-12,470
2020-02-11,467
2020-02-10,302
2020-02-09,138
2020-02-08,362
2020-02-07,585
2020-02-06,503
2020-02-05,487
2020-02-04,499
2020-02-03,337
2020-02-02,84
2020-02-01,467
2020-01-31,551
2020-01-30,523
2020-01-29,445
2020-01-28,525
2020-01-27,377
2020-01-26,94
2020-01-25,385
2020-01-24,520
2020-01-23,452
2020-01-22,439
2020-01-21,490
2020-01-20,282
2020-01-19,84
2020-01-18,333
2020-01-17,507
2020-01-16,450
2020-01-15,465
2020-01-14,525
2020-01-13,259
2020-01-12,79
2020-01-11,368
2020-01-10,500
2020-01-09,493
2020-01-08,475
2020-01-07,534
2020-01-06,365
2020-01-05,100
2020-01-04,406
2020-01-03,616
2020-01-02,517
2020-01-01,79
2019-12-31,323
2019-12-30,424
2019-12-29,115
2019-12-28,299
2019-12-27,448
2019-12-26,200
2019-12-25,23
2019-12-24,150
2019-12-23,383
2019-12-22,123
2019-12-21,401
2019-12-20,487
2019-12-19,560
2019-12-18,466
2019-12-17,493
2019-12-16,315
2019-12-15,129
2019-12-14,357
2019-12-13,460
2019-12-12,618
2019-12-11,506
2019-12-10,616
2019-12-09,253
2019-12-08,110
2019-12-07,426
2019-12-06,520
2019-12-05,499
2019-12-04,415
2019-12-03,555
2019-12-02,300
2019-12-01,91
2019-11-30,257
2019-11-29,210
2019-11-28,32
2019-11-27,443
2019-11-26,494
2019-11-25,385
2019-11-24,112
2019-11-23,405
2019-11-22,480
2019-11-21,472
2019-11-20,424
2019-11-19,506
2019-11-18,290
2019-11-17,112
2019-11-16,311
2019-11-15,442
2019-11-14,387
2019-11-13,423
2019-11-12,411
2019-11-11,251
2019-11-10,81
2019-11-09,324
2019-11-08,450
2019-11-07,408
2019-11-06,414
2019-11-05,473
2019-11-04,278
2019-11-03,110
2019-11-02,343
2019-11-01,454
2019-10-31,328
2019-10-30,384
2019-10-29,400
2019-10-28,203
2019-10-27,62
2019-10-26,253
2019-10-25,364
2019-10-24,366
2019-10-23,461
2019-10-22,400
2019-10-21,228
2019-10-20,75
2019-10-19,279
2019-10-18,388
2019-10-17,363
2019-10-16,366
2019-10-15,295
2019-10-14,215
2019-10-13,90
2019-10-12,241
2019-10-11,314
2019-10-10,342
2019-10-09,327
2019-10-08,352
2019-10-07,255
2019-10-06,94
2019-10-05,274
2019-10-04,348
2019-10-03,361
2019-10-02,343
2019-10-01,383
2019-09-30,216
2019-09-29,54
2019-09-28,240
2019-09-27,423
2019-09-26,359
2019-09-25,368
2019-09-24,365
2019-09-23,254
2019-09-22,74
2019-09-21,273
2019-09-20,364
2019-09-19,348
2019-09-18,360
2019-09-17,385
2019-09-16,208
2019-09-15,102
2019-09-14,253
2019-09-13,400
2019-09-12,345
2019-09-11,307
2019-09-10,345
2019-09-09,168
2019-09-08,128
2019-09-07,251
2019-09-06,341
2019-09-05,305
2019-09-04,594
2019-09-03,321
2019-09-02,59
2019-09-01,91
2019-08-31,237
2019-08-30,379
2019-08-29,374
2019-08-28,263
2019-08-27,354
2019-08-26,181
2019-08-25,98
2019-08-24,272
2019-08-23,346
2019-08-22,329
2019-08-21,301
2019-08-20,251
2019-08-19,219
2019-08-18,76
2019-08-17,210
2019-08-16,337
2019-08-15,329
2019-08-14,303
2019-08-13,301
2019-08-12,218
2019-08-11,88
2019-08-10,209
2019-08-09,314
2019-08-08,340
2019-08-07,327
2019-08-06,307
2019-08-05,250
2019-08-04,80
2019-08-03,221
2019-08-02,307
2019-08-01,318
2019-07-31,315
2019-07-30,254
2019-07-29,185
2019-07-28,73
2019-07-27,205
2019-07-26,320
2019-07-25,331
2019-07-24,339
2019-07-23,268
2019-07-22,315
2019-07-21,87
2019-07-20,157
2019-07-19,225
2019-07-18,271
2019-07-17,267
2019-07-16,253
2019-07-15,227
2019-07-14,78
2019-07-13,189
2019-07-12,339
2019-07-11,256
2019-07-10,295
2019-07-09,265
2019-07-08,215
2019-07-07,110
2019-07-06,176
2019-07-05,209
2019-07-04,40
2019-07-03,243
2019-07-02,312
2019-07-01,255
2019-06-30,78
2019-06-29,215
2019-06-28,255
2019-06-27,263
2019-06-26,380
2019-06-25,262
2019-06-24,180
2019-06-23,96
2019-06-22,194
2019-06-21,317
2019-06-20,285
2019-06-19,324
2019-06-18,229
2019-06-17,246
2019-06-16,76
2019-06-15,206
2019-06-14,304
2019-06-13,300
2019-06-12,284
2019-06-11,241
2019-06-10,225
2019-06-09,99
2019-06-08,233
2019-06-07,258
2019-06-06,284
2019-06-05,266
2019-06-04,287
2019-06-03,169
2019-06-02,104
2019-06-01,209
2019-05-31,314
2019-05-30,325
2019-05-29,226
2019-05-28,199
2019-05-27,36
2019-05-26,59
2019-05-25,179
2019-05-24,254
2019-05-23,214
2019-05-22,248
2019-05-21,220
2019-05-20,167
2019-05-19,75
2019-05-18,175
2019-05-17,253
2019-05-16,335
2019-05-15,326
2019-05-14,231
2019-05-13,214
2019-05-12,58
2019-05-11,203
2019-05-10,301
2019-05-09,347
2019-05-08,277
2019-05-07,237
2019-05-06,192
2019-05-05,106
2019-05-04,177
2019-05-03,284
2019-05-02,265
2019-05-01,268
2019-04-30,239
2019-04-29,158
2019-04-28,91
2019-04-27,205
2019-04-26,295
2019-04-25,241
2019-04-24,196
2019-04-23,244
2019-04-22,177
2019-04-21,59
2019-04-20,163
2019-04-19,249
2019-04-18,281
2019-04-17,258
2019-04-16,266
2019-04-15,165
2019-04-14,98
2019-04-13,181
2019-04-12,247
2019-04-11,266
2019-04-10,243
2019-04-09,211
2019-04-08,286
2019-04-07,82
2019-04-06,229
2019-04-05,235
2019-04-04,248
2019-04-03,252
2019-04-02,316
2019-04-01,282
2019-03-31,78
2019-03-30,183
2019-03-29,207
2019-03-28,220
2019-03-27,207
2019-03-26,221
2019-03-25,189
2019-03-24,79
2019-03-23,187
2019-03-22,262
2019-03-21,251
2019-03-20,185
2019-03-19,205
2019-03-18,165
2019-03-17,123
2019-03-16,187
2019-03-15,277
2019-03-14,250
2019-03-13,203
2019-03-12,205
2019-03-11,177
2019-03-10,110
2019-03-09,212
2019-03-08,244
2019-03-07,289
2019-03-06,251
2019-03-05,203
2019-03-04,129
2019-03-03,95
2019-03-02,213
2019-03-01,259
2019-02-28,242
2019-02-27,231
2019-02-26,193
2019-02-25,126
2019-02-24,112
2019-02-23,233
2019-02-22,260
2019-02-21,222
2019-02-20,209
2019-02-19,215
2019-02-18,190
2019-02-17,87
2019-02-16,224
2019-02-15,232
2019-02-14,211
2019-02-13,222
2019-02-12,165
2019-02-11,107
2019-02-10,78
2019-02-09,180
2019-02-08,245
2019-02-07,292
2019-02-06,218
2019-02-05,191
2019-02-04,127
2019-02-03,85
2019-02-02,177
2019-02-01,188
2019-01-31,179
2019-01-30,134
2019-01-29,127
2019-01-28,123
2019-01-27,120
2019-01-26,162
2019-01-25,203
2019-01-24,172
2019-01-23,191
2019-01-22,145
2019-01-21,107
2019-01-20,96
2019-01-19,184
2019-01-18,171
2019-01-17,189
2019-01-16,191
2019-01-15,149
2019-01-14,106
2019-01-13,71
2019-01-12,137
2019-01-11,195
2019-01-10,165
2019-01-09,207
2019-01-08,175
2019-01-07,208
2019-01-06,119
2019-01-05,165
2019-01-04,170
2019-01-03,155
2019-01-02,258
2019-01-01,14
