"name","full_address","number_appts","lon","lat","geo_address"
"1419 Westwood Blvd.","Brown Rapid, Lake Sarahmouth, Iowa",2,-96.3269274,42.3064471,"brown's lake-bigelow park, 722 bigelow park rd, salix, ia 51052, usa"
"14nov2","Circuito Medicos 13, Ciudad Satelite, MEX",0,-99.2339815,19.5059461,"cto. medicos 13, cd. satélite, 53100 naucalpan de juárez, méx., mexico"
"1 Nail Spa","2731 NC HWY 55, Cary, NC",10,-78.8729196,35.7849462,"2731 nc-55, cary, nc 27519, usa"
"2 Dogs and a Biscuit","3 dog way, dogville, SC",3,-81.1637245,33.836081,"south carolina, usa"
"360 Merchant Group","3214 Hatch Blvd, Sheffield, AL",5,-87.683172,34.7706167,"3214 hatch blvd, sheffield, al 35660, usa"
"369 Industries","15131 Triton Lane, Huntington Beach, CA",0,-118.0403359,33.7429715,"15131 triton ln, huntington beach, ca 92649, usa"
"38Rain","435 Merchant Walk Square, Charlottesville, VA",1,-78.4983687,38.0110704,"435 merchant walk square, charlottesville, va 22902, usa"
"5 Speed Collision Center","18703 West Little York, Katy, TX",0,-95.696254,29.864247,"18703 w little york rd, katy, tx 77449, usa"
"808 Fades","81 s Lanikai Place, Haiku, HI",0,-156.2775618,20.8961756,"81 s lanikai pl, haiku, hi 96708, usa"
"808 Smart Car Rentals","444 Niu St, Honolulu, HI",2,-157.8327139,21.2869649,"444 niu st, honolulu, hi 96815, usa"
"A1M Arena","920 E State Street, Suite D, American Fork, UT",0,-111.7725518,40.3702661,"920 e state st suite d, american fork, ut 84003, usa"
"A2D Wireless Solutions","8606 Loch Raven Boulevard, Towson, MD",2,-76.5636451,39.3952833,"8606 loch raven blvd, towson, md 21286, usa"
"Abba Smoke Citi","903 N Euclid St, Anaheim, CA",0,-117.9419969,33.8442217,"903 n euclid st, anaheim, ca 92801, usa"
"A Better Life Psychotherapy, PLLC","8010 E. Morgan Trail, Scottsdale, AZ",1,-111.9081406,33.576001,"morgan trail executive plaza, 8010 e morgan trail, scottsdale, az 85258, usa"
"Above All Smog","2045 San Ramon Valley Blvd, San Ramon, CA",978,-121.9808769,37.7833986,"2045 san ramon valley blvd, san ramon, ca 94583, usa"
