cohort_month,total_merchants,month_number,percentage,appt_count
2018-06-01,3,0,100,28
2018-06-01,3,1,66.66666666666667,62
2018-06-01,3,2,66.66666666666667,40
2018-06-01,3,3,66.66666666666667,3
2018-06-01,3,4,33.333333333333336,1
2018-06-01,3,5,33.333333333333336,6
2018-06-01,3,6,33.333333333333336,20
2018-06-01,3,7,66.66666666666667,12
2018-06-01,3,8,66.66666666666667,27
2018-06-01,3,9,33.333333333333336,11
2018-06-01,3,10,33.333333333333336,1
2018-06-01,3,11,33.333333333333336,9
2018-06-01,3,12,33.333333333333336,3
2018-06-01,3,13,33.333333333333336,2
2018-06-01,3,14,33.333333333333336,2
2018-06-01,3,16,33.333333333333336,7
2018-06-01,3,17,33.333333333333336,12
2018-06-01,3,18,33.333333333333336,4
2018-06-01,3,19,33.333333333333336,4
2018-07-01,6,0,50,120
2018-07-01,6,1,33.333333333333336,279
2018-07-01,6,2,50,269
2018-07-01,6,3,16.666666666666668,254
2018-07-01,6,4,16.666666666666668,269
2018-07-01,6,5,16.666666666666668,303
2018-07-01,6,6,16.666666666666668,351
2018-07-01,6,7,16.666666666666668,285
2018-08-01,20,0,15,11
2018-08-01,20,1,45,695
2018-08-01,20,2,20,545
2018-08-01,20,3,20,712
2018-08-01,20,4,15,868
2018-08-01,20,5,10,1093
2018-08-01,20,6,10,1231
2018-08-01,20,7,10,1513
2018-08-01,20,8,10,1449
2018-08-01,20,9,15,1544
2018-08-01,20,10,10,1623
2018-08-01,20,11,10,1507
2018-08-01,20,12,15,1552
2018-08-01,20,13,10,1309
2018-08-01,20,14,15,1290
2018-08-01,20,15,5,1097
2018-08-01,20,16,5,1152
2018-08-01,20,17,5,868
2018-09-01,64,0,40.625,1109
2018-09-01,64,1,23.4375,1232
2018-09-01,64,2,21.875,1192
2018-09-01,64,3,15.625,1073
2018-09-01,64,4,15.625,1406
2018-09-01,64,5,15.625,1176
2018-09-01,64,6,20.3125,1492
2018-09-01,64,7,15.625,1945
2018-09-01,64,8,17.1875,1690
2018-09-01,64,9,14.0625,1533
2018-09-01,64,10,14.0625,1741
2018-09-01,64,11,14.0625,1477
2018-09-01,64,12,14.0625,1423
2018-09-01,64,13,14.0625,1491
2018-09-01,64,14,10.9375,1416
2018-09-01,64,15,10.9375,1172
2018-09-01,64,16,10.9375,1332
2018-10-01,43,0,30.232558139534884,794
2018-10-01,43,1,27.906976744186046,927
2018-10-01,43,2,18.6046511627907,674
2018-10-01,43,3,18.6046511627907,595
2018-10-01,43,4,18.6046511627907,567
2018-10-01,43,5,23.25581395348837,630
2018-10-01,43,6,18.6046511627907,579
2018-10-01,43,7,11.627906976744185,569
2018-10-01,43,8,13.953488372093023,513
2018-10-01,43,9,13.953488372093023,534
2018-10-01,43,10,11.627906976744185,567
2018-10-01,43,11,9.30232558139535,473
2018-10-01,43,12,9.30232558139535,405
2018-10-01,43,13,6.976744186046512,444
2018-10-01,43,14,9.30232558139535,419
2018-10-01,43,15,9.30232558139535,408
2018-11-01,34,0,38.23529411764706,330
2018-11-01,34,1,26.470588235294116,728
2018-11-01,34,2,23.529411764705884,879
2018-11-01,34,3,23.529411764705884,852
2018-11-01,34,4,29.41176470588235,952
2018-11-01,34,5,20.58823529411765,912
2018-11-01,34,6,20.58823529411765,912
2018-11-01,34,7,17.647058823529413,713
2018-11-01,34,8,23.529411764705884,649
